service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
20250407-Weekend-02,0,0,0,0,0,1,1,20250517,20251026
20250407-Weekend-01,0,0,0,0,0,1,1,20251101,20251214
20250407-Semaine-01,1,1,1,1,1,0,0,20250407,20251212
20251215-Weekend-01,0,0,0,0,0,1,1,20251220,20260510
20251215-Semaine-01,1,1,1,1,1,0,0,20251215,20260515
FARES-GT-2025-1,1,1,1,1,1,1,1,20250407,20251231
FARES-GT-2026-1,1,1,1,1,1,1,1,20260101,20260515
FARES-924-REG-2025-1,1,1,1,1,1,1,1,20250407,20250516
FARES-924-GRT-1,0,0,0,0,0,1,1,20250517,20251026
FARES-924-REG-2025-2,1,1,1,1,1,0,0,20250517,20251026
FARES-924-REG-2025-3,1,1,1,1,1,1,1,20251027,20251231
FARES-924-REG-2026-1,1,1,1,1,1,1,1,20260101,20260515
