service_id,date,exception_type,holiday_name
20250407-Semaine-01,20250418,2,
20250407-Semaine-01,20250421,2,
20250407-Semaine-01,20250519,2,
20250407-Semaine-01,20250624,2,
20250407-Semaine-01,20250701,2,
20250407-Semaine-01,20250901,2,
20250407-Semaine-01,20251013,2,
20250407-Semaine-01,20251224,2,
20250407-Semaine-01,20251225,2,
20250407-Weekend-01,20250412,1,
20250407-Weekend-01,20250413,1,
20250407-Weekend-01,20250419,1,
20250407-Weekend-01,20250426,1,
20250407-Weekend-01,20250427,1,
20250407-Weekend-01,20250503,1,
20250407-Weekend-01,20250504,1,
20250407-Weekend-01,20250510,1,
20250407-Weekend-01,20250511,1,
20250407-Weekend-02,20250519,1,
20250407-Weekend-02,20250624,1,
20250407-Weekend-02,20250630,1,
20250407-Weekend-02,20250701,1,
20250407-Weekend-02,20250804,1,
20250407-Weekend-02,20250901,1,
20250407-Weekend-02,20250930,1,
20250407-Weekend-02,20251013,1,
FARES-924-GRT-1,20250519,1,
FARES-924-GRT-1,20250624,1,
FARES-924-GRT-1,20250701,1,
FARES-924-GRT-1,20250901,1,
FARES-924-GRT-1,20251013,1,
FARES-924-GRT-1,20250630,1,
FARES-924-GRT-1,20250804,1,
FARES-924-GRT-1,20250930,1,
FARES-924-REG-2,20250519,2,
FARES-924-REG-2,20250624,2,
FARES-924-REG-2,20250701,2,
FARES-924-REG-2,20250901,2,
FARES-924-REG-2,20251013,2,
FARES-924-REG-2,20250630,2,
FARES-924-REG-2,20250804,2,
FARES-924-REG-2,20250930,2,
