area_id,stop_id
COL,214-01
COL,242-01
COL,F101-01
COL,F101-02
COL,F101-03
COL,F101-04
COL,F101-05
COL,F101-06
COL,F101-07
COL,F101-08
COL,F101-09
COL,F101-10
COL,F101-11
COL,F101-12
COL,F101-13
PNT,F101-60
COL,F102-01
COL,F102-02
COL,F102-03
COL,F102-04
COL,F102-05
COL,F102-06
COL,F102-07
COL,F102-08
COL,F102-09
COL,F102-10
COL,F102-11
COL,F102-12
COL,F102-13
COL,F102-14
COL,F102-15
COL,F102-16
COL,F103-04
COL,F103-05
PNT,F103-06
PNT,F103-07
COL,F103-08
PNT,F103-09
COL,F103-10
COL,F103-11
COL,F103-12
COL,F103-13
COL,F103-14
COL,F103-15
COL,F103-16
COL,F103-17
PNT,F111-01
PNT,F111-02
PNT,F111-03
PNT,F111-04
PNT,F111-05
PNT,F111-06
PNT,F111-07
PNT,F111-08
PNT,F111-09
PNT,F111-10
PNT,F112-02
PNT,F112-03
PNT,F112-04
PNT,F112-05
PNT,F112-06
PNT,F112-07
PNT,F113-01
PNT,F113-02
PNT,F113-03
PNT,F113-04
PNT,F113-05
PNT,F113-06
PNT,F113-07
PNT,F113-08
PNT,F113-09
PNT,F113-10
PNT,F113-11
PNT,F113-12
PNT,F113-13
PNT,F113-14
PNT,F121-01
PNT,F121-02
PNT,F122-02
PNT,F122-08
PNT,F123-01
PNT,F123-03
PNT,F123-04
PNT,F124-01
PNT,F124-02
PNT,F124-03
PNT,F124-04
PNT,F124-05
PNT,F124-06
PNT,F124-07
PNT,F124-08
PNT,F124-09
PNT,F124-10
PNT,F124-11
PNT,F124-12
PNT,F124-13
PNT,F124-14
PNT,F124-15
PNT,F124-16
PNT,F124-17
PNT,F124-18
PNT,F124-19
PNT,F124-20
PNT,F124-21
PNT,F124-22
PNT,F132-01
PNT,F132-02
PNT,F132-03
PNT,F132-04
PNT,F132-05
PNT,F132-06
PNT,F132-07
PNT,F132-08
PNT,F132-09
PNT,F132-10
PNT,F132-11
PNT,F132-12
PNT,F132-13
PNT,F132-14
PNT,F133-01
PNT,F133-02
PNT,F133-03
PNT,F133-04
PNT,F133-05
PNT,F133-06
PNT,F133-07
PNT,F133-08
PNT,F133-09
PNT,F133-10
PNT,F133-11
PNT,F133-12
PNT,F133-13
PNT,F133-14
PNT,F133-15
PNT,F133-16
PNT,F133-17
PNT,F133-18
PNT,F134-01
PNT,F134-02
PNT,F135-01
PNT,F135-02
PNT,F135-03
PNT,F135-04
PNT,F135-05
PNT,F135-06
COL,F213-01
COL,F213-04
COL,F213-05
COL,F213-06
COL,F213-07
COL,F213-08
COL,F213-09
COL,F213-10
COL,F213-11
COL,F213-12
COL,F213-13
COL,F213-14
COL,F213-15
COL,F213-16
COL,F213-17
COL,F213-18
COL,F213-19
COL,F231-01
COL,F231-03
COL,F231-04
COL,F231-05
COL,F231-06
COL,F231-07
COL,F231-08
COL,F231-09
COL,F231-10
COL,F231-11
COL,F231-12
COL,F231-13
COL,F231-14
COL,F231-15
COL,F231-16
COL,F231-17
COL,F231-18
COL,F231-19
COL,F231-20
COL,F231-21
COL,F231-60
COL,F241-01
COL,F241-02
COL,F241-03
COL,F241-08
COL,F241-17
COL,F241-18
COL,F241-19
COL,F241-23
COL,F241-24
COL,F241-25
COL,F241-26
COL,F241-28
COL,F251-20
COL,F251-24
COL,F251-25
COL,F251-29
COL,F251-30
COL,F251-31
COL,F251-32
COL,F251-33
COL,F251-34
COL,F251-35
COL,F251-36
COL,F251-37
COL,F251-38
COL,F251-39
COL,F251-40
COL,F252-01
COL,F252-02
COL,F252-03
COL,F252-04
COL,F252-05
COL,F252-21
COL,F252-22
