trip_id,arrival_time,departure_time,location_group_id,location_id,stop_id,stop_sequence,stop_headsign,start_pickup_drop_off_window,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint,pickup_booking_rule_id,drop_off_booking_rule_id
20250407-Semaine-01-910-0-0517,05:17:00,05:17:00,,,F134-01,0,,,0,0,0,3,0,1,,
20250407-Semaine-01-910-0-0517,05:17:56,05:17:56,,,F135-01,1,,,0,0,0,3,1104.2689,0,,
20250407-Semaine-01-910-0-0517,05:19:45,05:19:45,,,F135-03,2,,,0,0,0,3,3233.977,0,,
20250407-Semaine-01-910-0-0517,05:20:04,05:20:04,,,F135-05,3,,,0,0,0,3,3614.0442,0,,
20250407-Semaine-01-910-0-0517,05:21:21,05:21:21,,,F133-01,4,,,0,0,0,3,5114.9565,0,,
20250407-Semaine-01-910-0-0517,05:22:12,05:22:12,,,F133-03,5,,,0,0,0,3,6110.974,0,,
20250407-Semaine-01-910-0-0517,05:25:16,05:25:16,,,F133-05,6,,,0,0,0,3,9699.3,0,,
20250407-Semaine-01-910-0-0517,05:27:33,05:27:33,,,F133-07,7,,,0,0,0,3,12381.291,0,,
20250407-Semaine-01-910-0-0517,05:28:18,05:28:18,,,F133-09,8,,,0,0,0,3,13257.647,0,,
20250407-Semaine-01-910-0-0517,05:29:00,05:29:00,,,F133-11,9,,,0,0,0,3,14077.794,1,,
20250407-Semaine-01-910-0-0517,05:29:32,05:29:32,,,F133-13,10,,,0,0,0,3,14798.592,0,,
20250407-Semaine-01-910-0-0517,05:29:48,05:29:48,,,F133-15,11,,,0,0,0,3,15156.621,0,,
20250407-Semaine-01-910-0-0517,05:31:34,05:31:34,,,F133-17,12,,,0,0,0,3,17517.111,0,,
20250407-Semaine-01-910-0-0517,05:34:12,05:34:12,,,F132-11,13,,,0,0,0,3,21017.217,0,,
20250407-Semaine-01-910-0-0517,05:36:00,05:36:00,,,F132-03,14,,,0,0,0,3,23407.139,1,,
20250407-Semaine-01-910-0-0517,05:38:12,05:38:12,,,F132-05,15,,,0,0,0,3,28599.537,0,,
20250407-Semaine-01-910-0-0517,05:38:48,05:38:48,,,F132-07,16,,,0,0,0,3,30003.273,0,,
20250407-Semaine-01-910-0-0517,05:39:17,05:39:17,,,F132-09,17,,,0,0,0,3,31157.951,0,,
20250407-Semaine-01-910-0-0517,05:40:00,05:40:00,,,F132-01,18,,,0,0,0,3,32805.812,1,,
20250407-Semaine-01-910-0-0517,05:40:31,05:40:31,,,F132-13,19,,,0,0,0,3,33682.01,0,,
20250407-Semaine-01-910-0-0517,05:42:09,05:42:09,,,F124-09,20,,,0,0,0,3,36425.96,0,,
