table_name,field_name,language,translation,record_id,record_sub_id,field_value
agency,agency_url,en,https://transcollines.ca/en/,,,https://transcollines.ca/
agency,agency_fare_url,en,https://transcollines.ca/en/getting-around/public-transportation/#4,,,https://transcollines.ca/me-deplacer/transport-en-commun/#3
stops,stop_name,en,NCC Visitor Centre,,,Accueil CCN (Centre des visiteurs)
stops,tts_stop_name,en,N C C Visitor's Centre,,,Accueil C C N
stops,tts_stop_name,en,Gamelin and Saint-Joseph,,,Gamelin et Saint-Joseph
stops,tts_stop_name,en,Jean-Proulx and Deveault,,,Jean-Proulx et Deveault
stops,tts_stop_name,en,Jean-Proulx and S T O,,,Jean-Proulx et S T O
stops,tts_stop_name,en,Labrosse and Polyvalente Nicolas-Gatineau,,,Labrosse et Polyvalente Nicolas-Gatineau
stops,tts_stop_name,en,Lionel-Émond and Collège Nouvelles Frontières,,,Lionel-Émond et Collège Nouvelles Frontières
stops,stop_name,en,St-Joseph | Canevas Shopping Centre,,,St-Joseph | Centre commercial Canevas
stops,tts_stop_name,en,Saint-Joseph and Canevas Shopping Centre,,,Saint-Joseph et Centre commercial Canevas
stops,tts_stop_name,en,Saint-Joseph and Jean-Proulx,,,Saint-Joseph et Jean-Proulx
stops,tts_stop_name,en,Saint-Joseph and Juneau,,,Saint-Joseph et Juneau
stops,tts_stop_name,en,Saint-Joseph and Parc O Bus Freeman,,,Saint-Joseph et Parc au Bus Freeman
stops,tts_stop_name,en,Saint-Joseph and Sainte-Marie,,,Saint-Joseph et Sainte-Marie
stops,tts_stop_name,en,Saint-Louis and Avenue Gatineau,,,Saint-Louis et Avenue Gatineau
stops,tts_stop_name,en,Saint-Louis and du Pont Alonzo-Wright,,,Saint-Louis et du Pont Alonzo-Wright
stops,stop_name,en,Station de la Gappe (de Turin street),,,Station de la Gappe (rue de Turin)
stops,tts_stop_name,en,Station de la Gappe (de Turin street),,,Station de la Gappe (rue de Turin)
stops,tts_stop_name,en,de la Carrière and Adrien-Robert,,,de la Carrière et Adrien-Robert
stops,tts_stop_name,en,de la Carrière and Atawe,,,de la Carrière et Atawe
stops,tts_stop_name,en,de la Carrière and du Casino,,,de la Carrière et du Casino
stops,tts_stop_name,en,de la Cité-des-Jeunes and Centre Asticou,,,de la Cité-des-Jeunes et Centre Asticou
stops,tts_stop_name,en,de la Cité-des-Jeunes and Cégep Gabrielle-Roy,,,de la Cité-des-Jeunes et Cégep Gabrielle-Roy
stops,tts_stop_name,en,de la Cité-des-Jeunes and Cégep Héritage,,,de la Cité-des-Jeunes et Cégep Héritage
stops,tts_stop_name,en,des Allumettières and Wilfrid-Lavigne,,,des Allumettières et Wilfrid-Lavigne
