service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
20240501-101-1111100,1,1,1,1,1,0,0,20240501,20240831
20240501-102-1111100,1,1,1,1,1,0,0,20240501,20240831
20240501-103-1111100,1,1,1,1,1,0,0,20240501,20240831
20240501-104-1111100,1,1,1,1,1,0,0,20240501,20240514
20240501-106-1111100,1,1,1,1,1,0,0,20240501,20240514
20240501-110-1111100,1,1,1,1,1,0,0,20240501,20240514
20240501-111-1111100,1,1,1,1,1,0,0,20240501,20240514
20240501-201-0000011,0,0,0,0,0,1,1,20240501,20240514
20240501-202-0000011,0,0,0,0,0,1,1,20240501,20240514
20240501-203-0000011,0,0,0,0,0,1,1,20240501,20240514
20240000-G4A-0000011,0,0,0,0,0,1,1,20241029,20241130
20240000-G4M-0000011,0,0,0,0,0,1,1,20241029,20241130
20240000-G4P-0000011,0,0,0,0,0,1,1,20241029,20241130
20240515-201-0000011,0,0,0,0,0,1,1,20240518,20241027
20240515-202-0000011,0,0,0,0,0,1,1,20240518,20241027
20240515-203-0000011,0,0,0,0,0,1,1,20240518,20241027
20240501-107-1111100,1,1,1,1,1,0,0,20240501,20240831
20240501-108-1111100,1,1,1,1,1,0,0,20240501,20240831
20240501-109-1111100,1,1,1,1,1,0,0,20240501,20240831
20240501-112-1111100,1,1,1,1,1,0,0,20240501,20240831
20240000-G1A-1111100,1,1,1,1,1,0,0,20240901,20241130
20240000-G1P-1111100,1,1,1,1,1,0,0,20240901,20241130
20240000-G2A-1111100,1,1,1,1,1,0,0,20240901,20241130
20240000-G3M-1111100,1,1,1,1,1,0,0,20240901,20241130
20240000-G6A-1111100,1,1,1,1,1,0,0,20240901,20241130
20240000-G6P-1111100,1,1,1,1,1,0,0,20240901,20241130
20240000-M1A-1111100,1,1,1,1,1,0,0,20240901,20241130
20240000-M1P-1111100,1,1,1,1,1,0,0,20240901,20241130
20240000-T1A-1111100,1,1,1,1,1,0,0,20240901,20241130
20240000-T1P-1111100,1,1,1,1,1,0,0,20240901,20241130
20240000-T2A-1111100,1,1,1,1,1,0,0,20240901,20241130
20240000-T2P-1111100,1,1,1,1,1,0,0,20240901,20241130
20240501-105-1111100,1,1,1,1,1,0,0,20240501,20240831
20240501-113-1111100,1,1,1,1,1,0,0,20240501,20240831
20240501-114-1111100,1,1,1,1,1,0,0,20240501,20240831
20240501-115-1111100,1,1,1,1,1,0,0,20240501,20240831
20240515-104-1111100,1,1,1,1,1,0,0,20240515,20240831
20240515-106-1111100,1,1,1,1,1,0,0,20240515,20240831
20240515-110-1111100,1,1,1,1,1,0,0,20240515,20240831
20240515-111-1111100,1,1,1,1,1,0,0,20240515,20240831
