service_id,date,exception_type
20240000-G1A-1111100,20241014,2
20240000-G1A-1111100,20240902,2
20240000-G1P-1111100,20241014,2
20240000-G1P-1111100,20240902,2
20240000-G2A-1111100,20241014,2
20240000-G2A-1111100,20240902,2
20240000-G3M-1111100,20241014,2
20240000-G3M-1111100,20240902,2
20240000-G6A-1111100,20241014,2
20240000-G6A-1111100,20240902,2
20240000-G6P-1111100,20241014,2
20240000-G6P-1111100,20240902,2
20240000-M1A-1111100,20241014,2
20240000-M1A-1111100,20240902,2
20240000-M1P-1111100,20241014,2
20240000-M1P-1111100,20240902,2
20240000-T1A-1111100,20241014,2
20240000-T1A-1111100,20240902,2
20240000-T1P-1111100,20241014,2
20240000-T1P-1111100,20240902,2
20240000-T2A-1111100,20241014,2
20240000-T2A-1111100,20240902,2
20240000-T2P-1111100,20241014,2
20240000-T2P-1111100,20240902,2
20240501-101-1111100,20240624,2
20240501-101-1111100,20240520,2
20240501-101-1111100,20240701,2
20240501-102-1111100,20240624,2
20240501-102-1111100,20240520,2
20240501-102-1111100,20240701,2
20240501-103-1111100,20240624,2
20240501-103-1111100,20240520,2
20240501-103-1111100,20240701,2
20240501-105-1111100,20240624,2
20240501-105-1111100,20240520,2
20240501-105-1111100,20240701,2
20240501-107-1111100,20240624,2
20240501-107-1111100,20240520,2
20240501-107-1111100,20240701,2
20240501-108-1111100,20240624,2
20240501-108-1111100,20240520,2
20240501-108-1111100,20240701,2
20240501-109-1111100,20240624,2
20240501-109-1111100,20240520,2
20240501-109-1111100,20240701,2
20240501-112-1111100,20240624,2
20240501-112-1111100,20240520,2
20240501-112-1111100,20240701,2
20240501-113-1111100,20240624,2
20240501-113-1111100,20240520,2
20240501-113-1111100,20240701,2
20240501-114-1111100,20240624,2
20240501-114-1111100,20240520,2
20240501-114-1111100,20240701,2
20240501-115-1111100,20240624,2
20240501-115-1111100,20240520,2
20240501-115-1111100,20240701,2
20240515-104-1111100,20240624,2
20240515-104-1111100,20240520,2
20240515-104-1111100,20240701,2
20240515-106-1111100,20240624,2
20240515-106-1111100,20240520,2
20240515-106-1111100,20240701,2
20240515-110-1111100,20240624,2
20240515-110-1111100,20240520,2
20240515-110-1111100,20240701,2
20240515-111-1111100,20240624,2
20240515-111-1111100,20240520,2
20240515-111-1111100,20240701,2
20240515-201-0000011,20241014,1
20240515-201-0000011,20240624,1
20240515-201-0000011,20240520,1
20240515-201-0000011,20240902,1
20240515-201-0000011,20240701,1
20240515-202-0000011,20241014,1
20240515-202-0000011,20240624,1
20240515-202-0000011,20240520,1
20240515-202-0000011,20240902,1
20240515-202-0000011,20240701,1
20240515-203-0000011,20241014,1
20240515-203-0000011,20240624,1
20240515-203-0000011,20240520,1
20240515-203-0000011,20240902,1
20240515-203-0000011,20240701,1
