route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,trip_direction_headsign,exceptional
910,2022-Semaine-1,2022-Semaine-1.910G_T01,Cégep G-Roy via Route 148,0,101T.2022-Semaine-1,910G,2,1,Gatineau,0
910,2022-Semaine-1,2022-Semaine-1.910P_T01,Chapeau via Route 148,1,117T.2022-Semaine-1,910P,2,1,Pontiac,0
921,2022-Semaine-1,2022-Semaine-1.921G_T01,les Galeries via Autoroute,0,103T.2022-Semaine-1,921GR,2,1,Gatineau,0
921,2022-Semaine-1,2022-Semaine-1.921G_T02,les Galeries via Autoroute,0,104G.2022-Semaine-1,921GR,2,1,Gatineau,0
921,2022-Semaine-1,2022-Semaine-1.921G_T03,les Galeries via Autoroute,0,112T.2022-Semaine-1,921GR,2,1,Gatineau,0
921,2022-Semaine-1,2022-Semaine-1.921C_T01,Masham via Autoroute,1,104G.2022-Semaine-1,921CR,2,1,Collines,0
922,2022-Semaine-1,2022-Semaine-1.922G_T01,Cégep G-Roy via Montagne,0,109M.2022-Semaine-1,922G,2,1,Gatineau,0
922,2022-Semaine-1,2022-Semaine-1.922C_T01,Hollow Glen via Montagne,1,119M.2022-Semaine-1,922C,2,1,Collines,0
923,2022-Semaine-1,2022-Semaine-1.923G_T01,les Galeries via Old Chelsea,0,104G.2022-Semaine-1,923G,2,1,Gatineau,0
923,2022-Semaine-1,2022-Semaine-1.923G_T02,les Galeries via Old Chelsea,0,103T.2022-Semaine-1,923G,2,1,Gatineau,0
923,2022-Semaine-1,2022-Semaine-1.923C_T01,Masham via Old Chelsea,1,116G.2022-Semaine-1,923C,2,1,Collines,0
923,2022-Semaine-1,2022-Semaine-1.923C_T02,Masham via Old Chelsea,1,112T.2022-Semaine-1,923C,2,1,Collines,0
923,2022-Semaine-1,2022-Semaine-1.923C_T03,Masham via Old Chelsea,1,116G.2022-Semaine-1,923C,2,1,Collines,0
924,2022-Semaine-1,2022-Semaine-1.924G_T01,Cégep G-Roy via Scott,0,121G.2022-Semaine-1,924G,2,1,Gatineau,0
924,2022-Semaine-1,2022-Semaine-1.924C_T01,Masham via Scott,1,112T.2022-Semaine-1,924C,2,1,Collines,0
924,2022-Semaine-1,2022-Semaine-1.924C_T02,Masham via Scott,1,121G.2022-Semaine-1,924C,2,1,Collines,0
924,2022-Semaine-1,2022-Semaine-1.924C_T03,Masham via Scott,1,121G.2022-Semaine-1,924C,2,1,Collines,0
925,2022-Semaine-1,2022-Semaine-1.925G_T01,les Galeries via de la Mine,0,107T.2022-Semaine-1,925G,2,1,Gatineau,0
925,2022-Semaine-1,2022-Semaine-1.925G_T02,les Galeries via de la Mine,0,110G.2022-Semaine-1,925G,2,1,Gatineau,0
925,2022-Semaine-1,2022-Semaine-1.925C_T01,Masham via de la Mine,1,110G.2022-Semaine-1,925C,2,1,Collines,0
925,2022-Semaine-1,2022-Semaine-1.925C_T02,Masham via de la Mine,1,114T.2022-Semaine-1,925C,2,1,Collines,0
925,2022-Semaine-1,2022-Semaine-1.925C_T03,Accueil CCN via de la Mine,1,114T.2022-Semaine-1,925CN,2,1,Collines,0
931,2022-Semaine-1,2022-Semaine-1.931G_T01,de la Gappe via Bouchette,0,106G.2022-Semaine-1,931G,2,1,Gatineau,0
931,2022-Semaine-1,2022-Semaine-1.931G_T02,de la Gappe via Bouchette,0,106G.2022-Semaine-1,931G,2,1,Gatineau,0
931,2022-Semaine-1,2022-Semaine-1.931G_T03,de la Gappe via Bouchette,0,111M.2022-Semaine-1,931G,2,1,Gatineau,0
931,2022-Semaine-1,2022-Semaine-1.931G_T04,de la Gappe via Bouchette,0,123M.2022-Semaine-1,931G,2,1,Gatineau,0
931,2022-Semaine-1,2022-Semaine-1.931C_T01,Hogan via Bouchette,1,111M.2022-Semaine-1,931C,2,1,Collines,0
931,2022-Semaine-1,2022-Semaine-1.931C_T02,Hogan via Bouchette,1,118G.2022-Semaine-1,931C,2,1,Collines,0
931,2022-Semaine-1,2022-Semaine-1.931C_T03,Hogan via Bouchette,1,118G.2022-Semaine-1,931C,2,1,Collines,0
931,2022-Semaine-1,2022-Semaine-1.931C_T04,Hogan via Bouchette,1,123M.2022-Semaine-1,931C,2,1,Collines,0
931,2022-Semaine-1,2022-Semaine-1.931C_T05,Hogan via Bouchette,1,123M.2022-Semaine-1,931C,2,1,Collines,0
932,2022-Semaine-1,2022-Semaine-1.932G_T01,Cégep G-Roy via Alonzo,0,108G.2022-Semaine-1,932G,2,1,Gatineau,0
932,2022-Semaine-1,2022-Semaine-1.932C_T01,Hogan via Alonzo,1,113G.2022-Semaine-1,932C,2,1,Collines,0
933,2022-Semaine-1,2022-Semaine-1.933G_T01,de la Gappe via Hogan,0,105G.2022-Semaine-1,933G,2,1,Gatineau,0
933,2022-Semaine-1,2022-Semaine-1.933C_T01,Des Érables via Hogan,1,120G.2022-Semaine-1,933C,2,1,Collines,0
933,2022-Semaine-1,2022-Semaine-1.933C_T02,Des Érables via Hogan,1,120G.2022-Semaine-1,933C,2,1,Collines,0
934,2022-Semaine-1,2022-Semaine-1.934G_T01,de la Gappe via Route 307,0,118G.2022-Semaine-1,934G,2,1,Gatineau,0
934,2022-Semaine-1,2022-Semaine-1.934C_T01,Hogan via Route 307,1,106G.2022-Semaine-1,934C,2,1,Collines,0
941,2022-Semaine-1,2022-Semaine-1.941G_T01,Labrosse via Carrefour,0,102G.2022-Semaine-1,941G,2,1,Gatineau,0
941,2022-Semaine-1,2022-Semaine-1.941G_T02,Labrosse via Carrefour,0,102G.2022-Semaine-1,941G,2,1,Gatineau,0
941,2022-Semaine-1,2022-Semaine-1.941G_T03,Labrosse via Carrefour,0,111M.2022-Semaine-1,941G,2,1,Gatineau,0
941,2022-Semaine-1,2022-Semaine-1.941G_T04,Labrosse via Carrefour,0,115G.2022-Semaine-1,941G,2,1,Gatineau,0
941,2022-Semaine-1,2022-Semaine-1.941G_T05,Labrosse via Carrefour,0,115G.2022-Semaine-1,941G,2,1,Gatineau,0
941,2022-Semaine-1,2022-Semaine-1.941C_T01,Perkins via Carrefour,1,102G.2022-Semaine-1,941C,2,1,Collines,0
941,2022-Semaine-1,2022-Semaine-1.941C_T02,Perkins via Carrefour,1,102G.2022-Semaine-1,941C,2,1,Collines,0
941,2022-Semaine-1,2022-Semaine-1.941C_T03,Perkins via Carrefour,1,111M.2022-Semaine-1,941C,2,1,Collines,0
941,2022-Semaine-1,2022-Semaine-1.941C_T04,Perkins via Carrefour,1,115G.2022-Semaine-1,941C,2,1,Collines,0
941,2022-Semaine-1,2022-Semaine-1.941C_T05,Perkins via Carrefour,1,115G.2022-Semaine-1,941C,2,1,Collines,0
943,2022-Semaine-1,2022-Semaine-1.943G_T01,Labrosse via Fogarty,0,102G.2022-Semaine-1,943GI,2,1,Gatineau,0
943,2022-Semaine-1,2022-Semaine-1.943G_T02,Labrosse via Fogarty,0,122M.2022-Semaine-1,943GI,2,1,Gatineau,0
943,2022-Semaine-1,2022-Semaine-1.943C_T01,Perkins via Fogarty,1,115G.2022-Semaine-1,943CI,2,1,Collines,0
943,2022-Semaine-1,2022-Semaine-1.943C_T02,Perkins via Fogarty,1,122M.2022-Semaine-1,943CI,2,1,Collines,0
943,2022-Semaine-1,2022-Semaine-1.943C_T03,Perkins via Fogarty,1,122M.2022-Semaine-1,943CI,2,1,Collines,0
924,2022-Weekend-1,2022-Weekend-1.924G_T01,les Galeries via Scott,0,202G.2022-Weekend-1,924GG,2,1,Gatineau,0
924,2022-Weekend-1,2022-Weekend-1.924G_T02,les Galeries via Scott,0,203G.2022-Weekend-1,924GG,2,1,Gatineau,0
924,2022-Weekend-1,2022-Weekend-1.924G_T03,les Galeries via Scott,0,205G.2022-Weekend-1,924GG,2,1,Gatineau,0
924,2022-Weekend-1,2022-Weekend-1.924C_T01,Masham via Scott,1,202G.2022-Weekend-1,924CG,2,1,Collines,0
924,2022-Weekend-1,2022-Weekend-1.924C_T02,Masham via Scott,1,203G.2022-Weekend-1,924CG,2,1,Collines,0
